timestamp,BNBUSDT_close,ETHUSDT_close,DOTUSDT_close,LINKUSDT_close,THETAUSDT_close,DODOUSDT_close,OGNUSDT_close,ALGOUSDT_close,MATICUSDT_close,BTCUSDT_close,SUSHIUSDT_close,HBARUSDT_close,ONEUSDT_close,EGLDUSDT_close,ZILUSDT_close,SOLUSDT_close,ATOMUSDT_close,EOSUSDT_close,LTCUSDT_close,DASHUSDT_close,NEARUSDT_close,ADAUSDT_close,CAKEUSDT_close
2017-12-01 00:00:00,1.98,426.01,,,,,,,,9698.23,,,,,,,,,,,,,
2017-12-01 04:00:00,1.9698,418.8,,,,,,,,9540.0,,,,,,,,,,,,,
2017-12-01 08:00:00,2.025,433.0,,,,,,,,9956.24,,,,,,,,,,,,,
2017-12-01 12:00:00,2.0498,446.66,,,,,,,,10460.0,,,,,,,,,,,,,
2017-12-01 16:00:00,2.0188,454.58,,,,,,,,10529.1,,,,,,,,,,,,,
2017-12-01 20:00:00,2.0527,457.51,,,,,,,,10782.99,,,,,,,,,,,,,
2017-12-02 00:00:00,2.072,460.8,,,,,,,,10900.46,,,,,,,,,,,,,
2017-12-02 04:00:00,2.06,463.55,,,,,,,,10931.04,,,,,,,,,,,,,
2017-12-02 08:00:00,2.08,459.33,,,,,,,,10940.98,,,,,,,,,,,,,
2017-12-02 12:00:00,2.0,450.01,,,,,,,,10709.73,,,,,,,,,,,,,
2017-12-02 16:00:00,2.052,457.7,,,,,,,,10882.12,,,,,,,,,,,,,
2017-12-02 20:00:00,2.0797,457.63,,,,,,,,10890.01,,,,,,,,,,,,,
2017-12-03 00:00:00,2.0851,456.29,,,,,,,,10980.0,,,,,,,,,,,,,
2017-12-03 04:00:00,2.1111,466.54,,,,,,,,11146.02,,,,,,,,,,,,,
2017-12-03 08:00:00,2.182,477.68,,,,,,,,11615.99,,,,,,,,,,,,,
2017-12-03 12:00:00,2.2835,475.99,,,,,,,,11710.0,,,,,,,,,,,,,
2017-12-03 16:00:00,2.3699,479.25,,,,,,,,11735.0,,,,,,,,,,,,,
2017-12-03 20:00:00,2.2617,460.3,,,,,,,,11165.41,,,,,,,,,,,,,
2017-12-04 00:00:00,2.46,462.03,,,,,,,,11369.96,,,,,,,,,,,,,
2017-12-04 04:00:00,2.549,468.79,,,,,,,,11544.76,,,,,,,,,,,,,
2017-12-04 08:00:00,2.4159,453.11,,,,,,,,11120.82,,,,,,,,,,,,,
2017-12-04 12:00:00,2.4438,459.51,,,,,,,,11301.07,,,,,,,,,,,,,
2017-12-04 16:00:00,2.405,454.48,,,,,,,,11149.25,,,,,,,,,,,,,
2017-12-04 20:00:00,2.55,466.67,,,,,,,,11579.0,,,,,,,,,,,,,
2017-12-05 00:00:00,2.69,464.5,,,,,,,,11609.99,,,,,,,,,,,,,
2017-12-05 04:00:00,2.6,465.99,,,,,,,,11780.0,,,,,,,,,,,,,
2017-12-05 08:00:00,2.5376,460.04,,,,,,,,11664.0,,,,,,,,,,,,,
2017-12-05 12:00:00,2.5703,455.71,,,,,,,,11800.0,,,,,,,,,,,,,
2017-12-05 16:00:00,2.5751,454.98,,,,,,,,11694.0,,,,,,,,,,,,,
2017-12-05 20:00:00,2.612,452.26,,,,,,,,11699.99,,,,,,,,,,,,,
2017-12-06 00:00:00,2.6913,445.23,,,,,,,,12217.96,,,,,,,,,,,,,
2017-12-06 04:00:00,2.56,444.43,,,,,,,,12426.93,,,,,,,,,,,,,
2017-12-06 08:00:00,2.5605,435.61,,,,,,,,12593.96,,,,,,,,,,,,,
2017-12-06 12:00:00,2.3655,420.45,,,,,,,,12322.4,,,,,,,,,,,,,
2017-12-06 16:00:00,2.4413,423.13,,,,,,,,13054.99,,,,,,,,,,,,,
2017-12-06 20:00:00,2.5134,411.01,,,,,,,,13550.05,,,,,,,,,,,,,
2017-12-07 00:00:00,2.4852,421.98,,,,,,,,13634.99,,,,,,,,,,,,,
2017-12-07 04:00:00,2.5514,421.02,,,,,,,,14302.84,,,,,,,,,,,,,
2017-12-07 08:00:00,2.7741,401.9,,,,,,,,13799.98,,,,,,,,,,,,,
2017-12-07 12:00:00,2.61,396.51,,,,,,,,15310.01,,,,,,,,,,,,,
2017-12-07 16:00:00,2.5084,405.25,,,,,,,,15007.01,,,,,,,,,,,,,
2017-12-07 20:00:00,2.6625,406.33,,,,,,,,16599.0,,,,,,,,,,,,,
2017-12-08 00:00:00,2.5347,416.16,,,,,,,,16398.85,,,,,,,,,,,,,
2017-12-08 04:00:00,2.5238,412.21,,,,,,,,15880.0,,,,,,,,,,,,,
2017-12-08 08:00:00,2.4467,434.87,,,,,,,,14834.98,,,,,,,,,,,,,
2017-12-08 12:00:00,2.65,436.85,,,,,,,,15265.7,,,,,,,,,,,,,
2017-12-08 16:00:00,2.7999,441.92,,,,,,,,15199.96,,,,,,,,,,,,,
2017-12-08 20:00:00,2.79,442.56,,,,,,,,15880.0,,,,,,,,,,,,,
2017-12-09 00:00:00,2.6862,458.99,,,,,,,,15502.56,,,,,,,,,,,,,
2017-12-09 04:00:00,2.5905,473.0,,,,,,,,15340.01,,,,,,,,,,,,,
2017-12-09 08:00:00,2.49,460.0,,,,,,,,14700.01,,,,,,,,,,,,,
2017-12-09 12:00:00,2.47,474.05,,,,,,,,14405.48,,,,,,,,,,,,,
2017-12-09 16:00:00,2.3619,454.19,,,,,,,,13908.0,,,,,,,,,,,,,
2017-12-09 20:00:00,2.65,460.0,,,,,,,,14656.07,,,,,,,,,,,,,
2017-12-10 00:00:00,2.1576,411.24,,,,,,,,12647.07,,,,,,,,,,,,,
2017-12-10 04:00:00,2.3408,425.74,,,,,,,,13419.98,,,,,,,,,,,,,
2017-12-10 08:00:00,2.3496,431.0,,,,,,,,13560.55,,,,,,,,,,,,,
2017-12-10 12:00:00,2.4949,442.53,,,,,,,,15400.0,,,,,,,,,,,,,
2017-12-10 16:00:00,2.48,444.0,,,,,,,,15465.68,,,,,,,,,,,,,
2017-12-10 20:00:00,2.4619,427.35,,,,,,,,14899.98,,,,,,,,,,,,,
2017-12-11 00:00:00,2.499,446.0,,,,,,,,16160.01,,,,,,,,,,,,,
2017-12-11 04:00:00,2.58,455.4,,,,,,,,16431.0,,,,,,,,,,,,,
2017-12-11 08:00:00,2.7185,452.71,,,,,,,,16052.02,,,,,,,,,,,,,
2017-12-11 12:00:00,2.71,465.5,,,,,,,,16359.8,,,,,,,,,,,,,
2017-12-11 16:00:00,2.6892,470.98,,,,,,,,16999.0,,,,,,,,,,,,,
2017-12-11 20:00:00,2.687,508.7,,,,,,,,16587.97,,,,,,,,,,,,,
2017-12-12 00:00:00,2.6202,530.71,,,,,,,,16288.0,,,,,,,,,,,,,
2017-12-12 04:00:00,2.6875,529.58,,,,,,,,16799.97,,,,,,,,,,,,,
2017-12-12 08:00:00,2.7188,526.14,,,,,,,,16600.0,,,,,,,,,,,,,
2017-12-12 12:00:00,2.5895,609.5,,,,,,,,16311.68,,,,,,,,,,,,,
2017-12-12 16:00:00,2.506,587.99,,,,,,,,16514.0,,,,,,,,,,,,,
2017-12-12 20:00:00,2.5547,620.0,,,,,,,,16349.99,,,,,,,,,,,,,
2017-12-13 00:00:00,2.43,584.0,,,,,,,,15668.11,,,,,,,,,276.0,,,,
2017-12-13 04:00:00,2.5801,613.0,,,,,,,,16092.34,,,,,,,,,287.0,,,,
2017-12-13 08:00:00,2.5929,625.07,,,,,,,,15842.17,,,,,,,,,280.0,,,,
2017-12-13 12:00:00,2.6345,679.23,,,,,,,,15844.21,,,,,,,,,297.0,,,,
2017-12-13 16:00:00,2.5859,665.52,,,,,,,,15678.66,,,,,,,,,288.88,,,,
2017-12-13 20:00:00,2.719,683.99,,,,,,,,16033.29,,,,,,,,,290.01,,,,
2017-12-14 00:00:00,2.921,701.34,,,,,,,,15635.09,,,,,,,,,288.11,,,,
